user,comments_on_posts_that_trolls_commented,comments_on_posts_that_trolls_started,direct_comment_reply_to_troll_post,thread_comment_reply_to_troll_comments,thread_comment_reply_to_troll_comments_in_troll_post,same_title_post_as_troll,total_comments,total_submissions,age
166,0,0,0,0,0,1,0,8,5
167,0,0,0,0,0,0,0,5,5
168,0,0,0,0,0,2,0,25,4
169,0,0,0,0,0,2,0,11,5
170,0,0,0,0,0,0,0,13,5
171,0,0,0,0,0,1,0,1,5
172,0,0,0,0,0,0,0,9,5
173,0,0,0,0,0,0,0,5,5
174,0,0,0,0,0,0,0,1,5
175,0,0,0,0,0,0,0,1,4
176,0,0,0,0,0,0,0,2,4
177,0,0,0,0,0,1,0,11,5
178,0,0,0,0,0,6,0,23,5
179,0,0,0,0,0,3,0,10,5
180,0,0,0,0,0,3,0,9,5
181,0,0,0,0,0,0,0,8,5
182,0,0,0,0,0,2,0,12,4
183,0,0,0,0,0,1,0,8,5
184,0,0,0,0,0,0,0,7,5
185,0,0,0,0,0,0,0,13,5
186,0,0,0,0,0,0,0,5,5
187,0,0,0,0,0,0,0,1,4
188,0,0,0,0,0,1,0,10,5
189,0,0,0,0,0,0,0,1,4
190,0,0,0,0,0,2,0,5,5
191,0,0,0,0,0,0,0,9,5
192,0,0,0,0,0,1,0,6,5
193,0,0,0,0,0,0,0,1,4
194,0,0,0,0,0,1,0,5,5
195,0,0,0,0,0,0,0,1,5
196,0,0,0,0,0,1,0,3,5
197,0,0,0,0,0,2,0,7,5
198,0,0,0,0,0,0,0,1,4
199,0,0,0,0,0,1,0,2,5
200,0,0,0,0,0,0,0,2,5
201,0,0,0,0,0,1,0,5,5
202,0,0,0,0,0,0,0,10,5
203,0,0,0,0,0,0,0,6,5
204,0,0,0,0,0,0,0,6,5
205,0,0,0,0,0,0,0,1,5
206,0,0,0,0,0,0,0,6,5
207,0,0,0,0,0,1,0,27,4
208,0,0,0,0,0,0,0,1,4
209,0,0,0,0,0,0,0,6,5
210,0,0,0,0,0,0,0,1,4
211,0,0,0,0,0,1,0,6,4
212,0,0,0,0,0,0,0,2,4
213,0,0,0,0,0,0,0,2,3
214,0,0,0,0,0,0,0,8,5
215,0,0,0,0,0,1,0,8,5
216,0,0,0,0,0,2,0,19,5
217,0,0,0,0,0,3,0,7,5
218,0,0,0,0,0,0,0,1,4
219,0,0,0,0,0,0,0,4,2
220,0,0,0,0,0,0,0,1,4
221,0,0,0,0,0,4,0,8,4
222,0,0,0,0,0,0,0,2,3
223,0,0,0,0,0,0,0,16,5
224,0,0,0,0,0,0,0,18,5
225,0,0,0,0,0,1,0,30,5
226,0,0,0,0,0,0,0,20,5
227,0,0,0,0,0,0,0,1,4
228,0,0,0,0,0,1,0,10,5
229,0,0,0,0,0,0,0,5,4
230,0,0,0,0,0,0,0,1,4
231,0,0,0,0,0,2,0,57,5
232,0,0,0,0,0,4,0,29,5
233,0,0,0,0,0,1,0,10,5
234,0,0,0,0,0,0,0,1,4
235,0,0,0,0,0,0,0,5,3
236,0,0,0,0,0,0,0,1,4
237,0,0,0,0,0,1,0,9,5
238,0,0,0,0,0,0,0,5,5
239,0,0,0,0,0,0,0,1,4
240,0,0,0,0,0,0,0,2,4
241,0,0,0,0,0,0,0,2,4
242,0,0,0,0,0,0,0,11,5
243,0,0,0,0,0,0,0,16,5
244,0,0,0,0,0,0,0,13,5
245,0,0,0,0,0,5,0,55,5
246,0,0,0,0,0,3,0,18,5
247,0,0,0,0,0,0,0,51,5
248,0,0,0,0,0,1,0,7,5
249,0,0,0,0,0,0,0,2,4
250,0,0,0,0,0,0,0,3,2
251,0,0,0,0,0,0,0,6,5
252,0,0,0,0,0,1,0,8,5
253,0,0,0,0,0,0,0,7,5
254,0,0,0,0,0,0,0,7,5
255,0,0,0,0,0,0,0,1,4
256,0,0,0,0,0,0,0,2,5
257,0,0,0,0,0,0,0,10,5
258,0,0,0,0,0,0,0,23,5
259,0,0,0,0,0,1,0,4,5
260,0,0,0,0,0,1,0,10,5
261,0,0,0,0,0,0,0,4,4
262,0,0,0,0,0,0,0,1,5
263,0,0,0,0,0,0,0,2,3
264,0,0,0,0,0,1,0,5,5
265,0,0,0,0,0,0,0,1,4
266,0,0,0,0,0,1,0,17,5
267,0,0,0,0,0,3,0,28,5
268,0,0,0,0,0,3,0,11,5
269,0,0,0,0,0,0,0,8,5
270,0,0,0,0,0,2,0,47,5
271,0,0,0,0,0,5,0,12,5
272,0,0,0,0,0,0,0,3,5
273,0,0,0,0,0,0,0,1,5
274,0,0,0,0,0,3,0,28,5
275,0,0,0,0,0,0,0,3,4
276,0,0,0,0,0,0,0,1,4
277,0,0,0,0,0,0,0,2,5
278,0,0,0,0,0,0,0,7,5
279,0,0,0,0,0,3,0,24,5
280,0,0,0,0,0,6,0,35,5
281,0,0,0,0,0,0,0,3,5
282,0,0,0,0,0,0,0,1,5
283,0,0,0,0,0,0,0,18,5
284,0,0,0,0,0,0,0,6,5
285,0,0,0,0,0,1,0,5,5
286,0,0,0,0,0,0,0,1,5
287,0,0,0,0,0,0,0,1,4
288,0,0,0,0,0,1,0,6,5
289,0,0,0,0,0,0,0,1,4
290,0,0,0,0,0,0,0,2,5
291,0,0,0,0,0,1,0,8,5
292,0,0,0,0,0,0,0,6,5
293,0,0,0,0,0,0,0,13,5
294,0,0,0,0,0,0,0,1,4
295,0,0,0,0,0,0,0,1,3
296,0,0,0,0,0,0,0,1,4
297,0,0,0,0,0,0,0,2,5
298,0,0,0,0,0,0,0,2,4
299,0,0,0,0,0,0,0,1,4
300,0,0,0,0,0,0,0,1,7
301,0,0,0,0,0,0,0,1,4
302,0,0,0,0,0,0,0,1,4
303,0,0,0,0,0,0,0,1,4
304,0,0,0,0,0,0,0,11,5
305,0,0,0,0,0,1,0,4,4
306,0,0,0,0,0,0,0,1,3
307,0,0,0,0,0,0,0,1,4
308,0,0,0,0,0,0,0,1,4
309,0,0,0,0,0,0,0,4,2
310,0,0,0,0,0,0,0,1,4
311,0,0,0,0,0,0,0,1,5
312,0,0,0,0,0,0,0,38,5
313,0,0,0,0,0,0,0,1,5
314,0,0,0,0,0,14,0,385,3
315,0,0,0,0,0,0,0,1,4
316,0,0,0,0,0,2,0,5,5
317,0,0,0,0,0,0,0,1,4
318,0,0,0,0,0,0,0,1,4
319,0,0,0,0,0,1,0,2,5
320,0,0,0,0,0,0,0,5,4
321,0,0,0,0,0,0,0,1,5
322,0,0,0,0,0,0,0,2,5
323,0,0,0,0,0,2,0,4,5
324,0,0,0,0,0,0,0,1,4
325,0,0,0,0,0,0,0,2,9
326,0,0,0,0,0,0,0,1,4
327,0,0,0,0,0,0,0,1,4
328,0,0,0,0,0,1,0,4,4
329,0,0,0,0,0,0,0,3,4
330,0,0,0,0,0,0,0,1,3
331,0,0,0,0,0,0,0,1,4
332,0,0,0,0,0,0,0,1,4
333,0,0,0,0,0,0,0,1,4
334,0,0,0,0,0,2,0,82,5
335,0,0,0,0,0,1,0,45,4
