user,comments_on_posts_that_trolls_commented,comments_on_posts_that_trolls_started,direct_comment_reply_to_troll_post,thread_comment_reply_to_troll_comments,thread_comment_reply_to_troll_comments_in_troll_post,same_title_post_as_troll,total_comments,total_submissions,age
150,5,2,0,0,0,0,4438,108,5
151,1,0,0,0,0,1,812,126,5
152,0,1,1,0,0,0,22,7,4
153,5,1,1,0,0,0,7618,155,11
154,64,2,0,0,0,0,55193,16,5
155,0,1,1,0,0,0,504,8,6
156,0,0,0,0,0,1,371,28,5
157,0,0,0,0,0,2,89,47,5
158,24,0,0,0,0,1,16117,133,5
159,1,1,1,1,1,0,741,22,4
160,0,2,0,0,0,0,1600,54,5
161,0,1,1,0,0,0,3200,40,5
162,1,1,0,0,0,0,4760,354,5
163,0,1,1,0,0,0,7913,146,5
164,3,0,0,0,0,1,771,99,5
165,0,1,0,0,0,0,1362,99,5
166,16,1,1,1,1,0,4311,25,5
167,1,0,0,0,0,9,1198,296,5
168,0,0,0,0,0,1,14,8,4
169,13,2,0,0,0,1,17375,98,5
170,1,1,0,0,0,0,4569,85,6
171,0,2,0,0,0,0,556,1,5
172,0,1,1,0,0,0,602,21,5
173,0,1,1,0,0,0,5701,145,3
174,16,3,1,0,0,0,5189,0,5
175,0,1,0,0,0,0,627,67,4
176,0,4,0,0,0,0,1159,83,4
177,0,2,1,0,0,0,2277,72,6
178,1,1,0,1,1,0,2694,110,5
179,0,1,0,0,0,0,2000,5,8
180,5,1,1,0,0,0,3332,122,5
181,14,1,0,0,0,0,4528,2,5
182,6,1,0,0,0,0,10554,24,5
183,0,1,1,0,0,0,1,0,4
184,1,1,0,0,0,0,661,50,5
185,2,1,0,0,0,0,496,9,5
186,0,0,0,0,0,7,87,58,6
187,3,1,1,1,1,0,2378,197,5
188,3,1,1,0,0,0,2255,33,6
189,20,5,0,0,0,0,16331,217,11
190,22,2,1,1,0,0,32238,751,5
191,1,2,2,1,1,0,3899,21,4
192,1,1,0,0,0,2,627,68,4
193,0,0,0,0,0,4,750,113,5
194,10,1,1,0,0,0,8026,17,4
195,0,0,0,0,0,1,541,69,6
196,8,0,0,0,0,12,2753,147,5
197,0,1,0,0,0,0,439,16,5
198,1,0,0,0,0,5,721,183,6
199,0,0,0,0,0,2,530,69,5
200,0,0,0,0,0,83,1279,199,7
201,1,0,0,0,0,1,830,421,5
202,5,1,0,0,0,0,1120,110,5
203,1,3,0,0,0,0,1208,33,5
204,0,1,1,0,0,0,21,1,5
205,8,1,0,0,0,0,642,6,5
206,2,1,0,1,1,3,2319,156,5
207,12,1,1,0,0,0,9847,182,5
208,1,16,0,0,0,0,3492,255,5
209,0,1,1,0,0,0,238,61,6
210,0,0,0,0,0,5,1130,38,6
211,6,2,0,0,0,0,3837,3,4
212,0,1,1,0,0,0,68585,2,6
213,1,1,0,0,0,0,1891,16,4
214,0,1,0,0,0,0,3378,138,5
215,5,1,1,0,0,0,5896,31,6
216,18,2,1,0,0,0,9330,25,5
217,10,4,0,0,0,0,4656,107,6
218,9,4,1,0,0,0,2794,74,5
219,0,1,1,0,0,0,393,6,6
220,0,0,0,0,0,1,143,46,9
221,14,2,0,0,0,2,4327,398,5
222,1,2,0,0,0,0,7218,269,5
223,0,0,0,0,0,2,118,43,5
224,3,1,0,0,0,0,1044,44,5
225,26,1,0,0,0,0,29400,553,5
226,0,1,1,0,0,1,88,43,6
227,0,1,1,0,0,1,855,98,5
228,6,1,1,0,0,0,3049,0,5
229,0,0,0,0,0,4,863,165,5
230,0,1,0,0,0,0,847,5,6
231,39,1,1,1,0,0,1047346,5,3
232,1,1,1,0,0,0,636,39,5
233,35,4,0,0,0,0,8459,261,5
234,0,0,0,0,0,1,751,77,5
235,4,1,0,0,0,0,10229,178,4
236,1,0,0,0,0,38,2866,276,5
237,2,2,0,0,0,0,2123,19,7
238,9,0,0,0,0,2,4796,316,5
239,17,1,0,0,0,0,9086,45,6
240,11,1,1,0,0,0,7158,185,6
241,0,1,1,0,0,0,81,10,6
242,3,1,1,0,0,0,5105,85,5
243,5,0,0,0,0,7,13430,477,5
244,0,0,0,0,0,15,871,105,6
245,3,0,0,0,0,10,1707,267,5
246,0,0,0,0,0,1,79,31,7
247,18,0,0,0,0,3,6015,272,5
248,6,1,0,0,0,0,2992,79,5
249,0,1,1,0,0,0,157,26,4
250,9,1,0,0,0,0,5064,188,11
251,6,0,0,0,0,1,4063,334,10
252,2,2,1,2,2,0,360,0,4
253,2,1,1,0,0,0,4058,27,6
254,0,0,0,0,0,8,65,27,6
255,0,1,0,0,0,0,375,27,5
256,2,2,2,0,0,0,1260,14,8
257,0,1,1,0,0,0,16693,15118,5
258,0,0,0,0,0,1,9,31,4
259,5,3,1,0,0,0,26483,69,5
260,2,2,2,0,0,0,11478,362,5
261,4,0,0,0,0,11,2791,141,5
262,0,2,0,0,0,0,651,19,6
263,0,0,0,0,0,1,2147,27,11
264,0,1,1,0,0,0,1336,43,5
265,1,0,0,0,0,1,302,1790,6
266,2,0,0,0,0,7,2915,126,5
267,0,1,1,0,0,0,714,9,5
268,4,1,1,0,0,0,2013,40,6
269,2,2,0,0,0,0,1246,79,5
270,0,1,1,0,0,0,912,58,5
271,2,1,1,0,0,0,375,27,2
272,1,1,1,0,0,0,993,23,5
273,0,1,0,0,0,0,939,37,5
274,0,0,0,0,0,6,1501,211,5
275,7,2,0,0,0,0,8973,88,5
276,0,1,1,0,0,0,1194,89,5
277,0,2,0,0,0,0,844,21,9
278,0,0,0,0,0,6,783,145,5
279,2,2,1,1,1,0,1823,37,6
280,1,1,1,0,0,0,395,41,4
281,0,1,0,0,0,0,34,8,6
282,2,1,1,0,0,0,1191,70,5
283,19,2,0,0,0,0,21696,49,6
284,74,3,0,0,0,1,51626,285,5
285,4,1,0,0,0,0,1800,10,5
286,6,1,0,0,0,0,8158,88,11
287,1,1,1,0,0,0,129,6,5
288,0,0,0,0,0,1,270,77,5
289,0,0,0,0,0,18,454,213,5
290,1,1,1,0,0,0,3854,65,5
291,1,1,0,0,0,0,1317,48,6
292,0,1,1,0,0,0,93,19,4
293,0,0,0,0,0,1,0,2,4
294,1,1,1,1,1,0,1025,88,12
295,0,2,0,0,0,0,691,27,5
296,0,0,0,0,0,1,156,43,6
297,3,0,0,0,0,1,778,40,6
298,1,1,1,1,1,0,275,7,6
299,1,1,0,0,0,0,20,4,4
300,1,1,1,0,0,0,2433,316,5
301,1,1,1,0,0,0,1157,15,5
302,3,1,0,0,0,0,2461,12,7
303,1,1,0,0,0,0,1446,152,5
304,1,1,1,0,0,0,5450,153,5
305,0,0,0,0,0,3,3036,520,6
306,0,1,0,0,0,0,246,2,6
307,0,0,0,0,0,1,124,24,7
308,30,1,1,0,0,0,106497,782,11
309,4,1,1,0,0,1,495,159,5
310,5,0,0,0,0,1,1730,109,5
311,0,1,1,0,0,0,450,37,5
312,11,1,0,0,0,0,13737,74,5
313,5,0,0,0,0,17,2385,185,5
314,0,0,0,0,0,4,42,22,6
315,0,1,1,0,0,0,103,30,6
316,8,1,0,0,0,0,26833,434,5
317,1,1,0,0,0,0,200,20,5
318,11,2,1,0,0,0,5966,67,5
319,10,1,0,0,0,0,13886,167,5
320,1,1,1,0,0,0,1048,0,7
321,0,2,2,0,0,0,86,304,6
322,0,0,0,0,0,3,2213,62,5
323,0,0,0,0,0,3,27,26,4
324,2,1,0,0,0,0,4878,2,10
325,3,0,0,0,0,12,5066,344,6
326,1,1,0,1,1,0,5548,139,5
327,1,1,1,0,0,0,740,11,4
328,0,1,0,0,0,0,2,0,5
329,2,1,0,0,0,0,2811,28,6
330,3,2,1,1,1,0,6201,511,5
331,0,0,0,0,0,2,894,84,5
332,0,1,1,0,0,0,112,1,6
333,0,2,1,0,0,0,2077,38,5
334,0,0,0,0,0,4,1661,104,6
335,1,1,1,0,0,1,4663,181,4
